id1,used,used2,id,id2,name,date_,nocollared,season,how_obtain,confidence,packid,pack,disthha,easting,northing,distacc,wolfwin,sheepwi,goatwin,elkwint,moosewi,deerwin,elevati,landcov,rowid_,value,count,habitattyp,AlpineHerb,AlpineShrub,BurnForest,BurnGrassland,BurnShrub,ClosedConifer,Cloud,Herbaceous,MixedForest,ModerateConifer,OpenConifer,RockIce,Shrub,Water,burn
1096,0,0,0,0,0,,0,,0,0,0,Bow valley,540.83,590848,5668840,540.83,5,3,1,5,5,5,1402,7,11,7,189881,Herbaceous,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
856,0,0,0,0,0,,0,,0,0,0,Bow valley,216.33,589383,5671365,216.33,6,1,3,6,3,6,1508,12,15,12,227876,Burn-Forest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
950,0,0,0,0,0,,0,,0,0,0,Bow valley,192.09,572199,5681402,192.09,1,1,1,1,1,1,1455,7,11,7,189881,Herbaceous,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
492,0,0,0,0,0,,0,,0,0,0,Bow valley,982.7,575093,5677337,982.7,4,4,3,4,4,4,1760,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
746,0,0,0,0,0,,0,,0,0,0,Bow valley,742.16,561805,5690392,742.16,4,3,1,4,5,4,1598,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
282,1,1,285,1704,87,1/30/05,1,winter,2,1,2,Bow valley,589.41,590200,5669100,589.41,5,1,1,5,6,4,1402,7,11,7,189881,Herbaceous,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
426,0,0,0,0,0,,0,,0,0,0,Bow valley,752.4,586508,5669318,752.4,3,5,6,3,3,3,2067,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
955,0,0,0,0,0,,0,,0,0,0,Bow valley,874.64,576624,5681490,874.64,4,3,1,4,5,4,1710,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
957,0,0,0,0,0,,0,,0,0,0,Bow valley,465.73,569825,5679056,450,4,1,1,3,4,4,1750,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1126,0,0,0,0,0,,0,,0,0,0,Bow valley,400.25,587476,5668432,400.25,5,3,3,3,4,5,1781,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
959,0,0,0,0,0,,0,,0,0,0,Bow valley,1850.54,577371,5673305,1850.54,3,5,5,3,3,1,2655,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532,0,0,0,0,0,,0,,0,0,0,Bow valley,720,568626,5686264,720,4,3,1,4,5,4,1559,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1010,0,0,0,0,0,,0,,0,0,0,Bow valley,1939.82,585614,5670186,1939.82,3,5,6,3,3,3,2171,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1360,0,0,0,0,0,,0,,0,0,0,Bow valley,2563.2,595748,5721884,2546.29,3,6,5,3,1,3,2690,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
968,0,0,0,0,0,,0,,0,0,0,Bow valley,0,599060,5661121,0,1,1,4,1,1,1,2315,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
182,1,1,184,1351,63,12/13/02,1,winter,2,1,2,Bow valley,429.53,575200,5681500,429.53,4,3,1,4,5,4,1580,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
911,0,0,0,0,0,,0,,0,0,0,Bow valley,1200,592103,5671966,1200,3,5,6,3,3,3,2300,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
972,0,0,0,0,0,,0,,0,0,0,Bow valley,1056.83,570950,5680746,123.69,4,1,4,4,5,4,1555,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
229,1,1,231,1473,63,3/12/03,1,winter,2,1,2,Bow valley,300,589700,5670900,300,5,1,1,5,3,5,1519,12,15,12,227876,Burn-Forest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
975,0,0,0,0,0,,0,,0,0,0,Bow valley,30,570055,5678623,30,4,1,1,3,4,4,1701,8,12,8,341073,Shrub,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
