"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","DistFromHighHumanAccess2","pack","used"
4,4,4,1,1,4,1491.53333333327,23.8047225996683,0,"Bow Valley",1
4,4,4,1,1,4,1503.0737777777,47.1032418302626,30.0574683414059,"Bow Valley",1
4,4,4,1,1,4,1520,27.9095144816908,0,"Bow Valley",1
4,4,4,1,1,4,1520,147.37688663113,0,"Bow Valley",1
4,4,4,1,1,5,1402.78000000006,84.1720542984952,144.931504172564,"Bow Valley",1
4,4,4,1,1,5,1403.14622222224,126.106098409606,7.24628848948102,"Bow Valley",1
4,4,4,1,1,5,1619.56666666641,793.151050238935,565.968351847802,"Bow Valley",1
4,4,4,1,1,5,1621.38666666617,587.413440466858,455.86892111685,"Bow Valley",1
4,4,4,1,1,5,1656.18622222193,669.029388127282,441.589858684842,"Bow Valley",1
4,4,4,1,3,4,1433,435.223684606606,323.973006790504,"Bow Valley",1
4,4,4,1,3,4,1433.16711111109,227.413440466858,143.973006790504,"Bow Valley",1
4,4,4,1,3,4,1436.36622222218,24.3789220547109,20.0678312077553,"Bow Valley",1
4,4,4,1,3,4,1449.89955555545,0,0,"Bow Valley",1
4,4,4,1,3,4,1459.21999999994,145.709610442772,0,"Bow Valley",1
4,4,4,1,3,4,1462.84666666661,19.8905687136943,0,"Bow Valley",1
4,4,4,1,3,4,1463,17.4134404668584,0,"Bow Valley",1
4,4,4,1,3,4,1476,109.228560773834,0,"Bow Valley",1
4,4,4,1,3,4,1484.9066666666,63.4065745841059,0,"Bow Valley",1
4,4,4,1,3,4,1492.21999999994,148.856058484104,0,"Bow Valley",1
4,4,4,1,3,4,1497.27999999993,27.9095144816908,0,"Bow Valley",1
4,4,4,1,3,4,1788.78000000006,360.504295775846,10398.5998513836,"Red Deer",1
4,4,4,3,1,4,1458.96044444399,128.326724180298,159.766724438914,"Bow Valley",1
4,4,4,3,3,4,1742.53999999982,72.5865595331416,7221.58433757583,"Red Deer",1
4,4,4,3,3,4,1742.53999999982,72.5865595331416,7221.58433757583,"Red Deer",1
4,4,4,3,3,4,2007.45288888903,2105.19991288342,9342.66168945097,"Red Deer",1
4,4,4,4,3,4,1461.33955555532,166.756199570242,179.867516808435,"Bow Valley",1
4,4,4,4,3,4,1497.28666666648,39.6840333580039,581.593933312985,"Bow Valley",1
4,4,4,4,3,4,1506.01333333309,110.315966641996,414.095652639259,"Bow Valley",1
4,4,4,4,3,4,1509.16622222255,301.602024905529,340.601905959658,"Bow Valley",1
4,4,4,4,3,4,1538.10711111109,130.153522332459,465.034099716144,"Bow Valley",1
4,4,4,4,3,4,1543.33999999993,0,171.812047136156,"Bow Valley",1
4,4,4,4,3,4,1632.6399999995,470.315966641996,411.770682023865,"Bow Valley",1
4,4,4,4,3,4,1661.87377777781,385.255570672788,379.991432323264,"Bow Valley",1
4,4,4,4,3,4,1930.77911111127,952.666314428017,5263.98137443837,"Red Deer",1
4,4,4,4,3,4,1930.77911111127,952.666314428017,5263.98137443837,"Red Deer",1
4,4,4,4,3,4,1930.77911111127,952.666314428017,5263.98137443837,"Red Deer",1
4,4,4,4,3,4,1930.77911111127,952.666314428017,5263.98137443837,"Red Deer",1
4,4,4,4,3,4,2015.53333333327,933.255665813286,6653.95515329778,"Red Deer",1
4,4,4,4,3,4,2015.53333333327,933.255665813286,6653.95515329778,"Red Deer",1
4,4,4,4,3,4,2015.53333333327,933.255665813286,6653.95515329778,"Red Deer",1
4,4,4,4,3,4,2015.53333333327,933.255665813286,6653.95515329778,"Red Deer",1
4,4,4,4,3,4,2086.33377777825,1289.25285415524,1595.90517917942,"Red Deer",1
4,4,4,4,3,4,2086.33377777825,1289.25285415524,1595.90517917942,"Red Deer",1
4,4,4,4,3,4,2086.33377777825,1289.25285415524,1595.90517917942,"Red Deer",1
4,4,4,4,3,4,2086.33377777825,1289.25285415524,1595.90517917942,"Red Deer",1
4,4,5,3,1,5,1496.9066666666,464.867866499668,228.295547531632,"Bow Valley",1
4,5,4,1,4,4,1805.15999999968,887.413440466858,903.971336563172,"Red Deer",1
4,5,4,1,4,4,1805.15999999968,887.413440466858,903.971336563172,"Red Deer",1
4,5,4,1,4,4,1805.15999999968,887.413440466858,903.971336563172,"Red Deer",1
4,5,4,3,1,4,1437.32711111103,227.413440466858,143.973006790504,"Bow Valley",1
4,5,4,3,1,4,1439.54711111097,192.531576330876,113.973006790504,"Bow Valley",1
4,5,4,3,1,4,1440.64044444437,377.413440466859,293.973006790504,"Bow Valley",1
4,5,4,3,1,4,1448.31999999988,377.413440466859,293.973006790504,"Bow Valley",1
4,5,4,3,1,4,1462.93288888885,489.685352622601,443.973006790504,"Bow Valley",1
