"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","DistFromHighHumanAccess2","landcover16","EASTING","NORTHING","pack","used","usedFactor"
3,5,4,1,1,4,1766.00666666654,218.134909904978,175.000015258789,2,555853,5706978,"Red Deer",1,"1"
4,4,4,4,3,4,1930.77911111127,952.666314428017,5263.9814453125,12,587119,5724053,"Red Deer",1,"1"
4,4,4,4,3,4,1930.77911111127,952.666314428017,5263.9814453125,12,587119,5724053,"Red Deer",1,"1"
4,4,4,4,3,4,1930.77911111127,952.666314428017,5263.9814453125,12,587119,5724053,"Red Deer",1,"1"
4,4,4,4,3,4,1930.77911111127,952.666314428017,5263.9814453125,12,587119,5724053,"Red Deer",1,"1"
,,,,,,1700.51422222176,196.496656202724,92.8849639892578,7,605389,5720587,"Red Deer",1,"1"
,,,,,,1700.51422222176,196.496656202724,92.8849639892578,7,605389,5720587,"Red Deer",1,"1"
,,,,,,1700.51422222176,196.496656202724,92.8849639892578,7,605389,5720587,"Red Deer",1,"1"
4,3,3,3,1,4,2220.23333333277,1428.69927274045,5482.18603515625,12,592842,5718607,"Red Deer",1,"1"
4,5,4,3,1,4,1569.81333333321,481.335352954746,1189.23022460938,2,564800,5690850,"Red Deer",1,"1"
4,5,4,3,1,4,1569.81333333321,481.335352954746,1189.23022460938,2,564800,5690850,"Red Deer",1,"1"
4,5,4,3,1,4,1601.97333333315,296.481457059352,255.44108581543,2,559250,5696800,"Red Deer",1,"1"
4,5,4,3,1,4,1601.97333333315,296.481457059352,255.44108581543,2,559250,5696800,"Red Deer",1,"1"
4,5,4,3,1,4,1601.97333333315,296.481457059352,255.44108581543,2,559250,5696800,"Red Deer",1,"1"
4,5,4,3,1,4,1609.21999999994,998.058075756515,878.816345214844,2,562700,5693100,"Red Deer",1,"1"
4,5,4,3,1,4,1609.21999999994,998.058075756515,878.816345214844,2,562700,5693100,"Red Deer",1,"1"
4,5,5,4,1,5,1567.67955555551,567.882234263288,486.760833740234,3,561950,5693400,"Red Deer",1,"1"
4,5,5,4,1,5,1567.67955555551,567.882234263288,486.760833740234,3,561950,5693400,"Red Deer",1,"1"
3,3,3,4,4,3,2132.62666666667,201.257981006487,7770.21435546875,5,587160,5721390,"Red Deer",1,"1"
3,3,3,4,4,3,2132.62666666667,201.257981006487,7770.21435546875,5,587160,5721390,"Red Deer",1,"1"
3,3,3,4,4,3,2132.62666666667,201.257981006487,7770.21435546875,5,587160,5721390,"Red Deer",1,"1"
5,5,5,3,1,5,1402,293.795447834937,371.161163330078,2,588900,5670800,"Bow Valley",1,"1"
4,4,5,3,1,5,1496.9066666666,464.867866499668,228.295547485352,2,567700,5686600,"Bow Valley",1,"1"
5,3,5,1,1,5,1402,131.873975435212,255.153213500977,10,587500,5672700,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,514.322880740644,370.412811279297,2,588100,5671500,"Bow Valley",1,"1"
4,5,4,3,1,4,1586.05288888885,5.6210779452891,18.9649982452393,1,558477,5697212,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,275.778217516296,234.174697875977,2,586000,5674300,"Bow Valley",1,"1"
4,4,4,1,3,4,1433.16711111109,227.413440466858,143.973007202148,2,578950,5679200,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,625.283644602771,381.545257568359,2,588150,5671250,"Bow Valley",1,"1"
5,3,5,1,1,5,1403.75333333321,8.52360412042671,73.7663879394531,2,588155,5672074,"Bow Valley",1,"1"
6,3,4,1,1,5,1405.06666666654,20.3159666419961,59.3532066345215,2,584800,5675700,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,470.365003345631,357.898162841797,2,584800,5674850,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,300.967086138911,277.550689697266,7,584600,5674800,"Bow Valley",1,"1"
5,5,5,3,1,5,1427.53333333327,409.31976382708,323.064147949219,2,582400,5675950,"Bow Valley",1,"1"
4,4,4,1,3,4,1476,109.228560773834,0,8,568250,5685100,"Bow Valley",1,"1"
5,5,5,3,1,5,1405.37333333333,128.224644428293,11.4223346710205,8,590500,5669600,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,233.612856153105,247.411849975586,7,585190,5674900,"Bow Valley",1,"1"
5,4,5,4,3,5,1530.69333333295,609.993672702053,899.784362792969,3,585750,5676250,"Bow Valley",1,"1"
6,1,6,5,1,6,1433.43288888872,19.8905687136943,437.400512695312,2,585150,5676250,"Bow Valley",1,"1"
4,4,4,1,1,5,1403.14622222224,126.106098409606,7.24628829956055,2,587350,5671500,"Bow Valley",1,"1"
4,5,4,3,1,4,1486.31999999962,84.1720542984952,0,1,569250,5684250,"Bow Valley",1,"1"
3,5,4,1,3,4,1433,100.01950744765,0,2,577000,5679350,"Bow Valley",1,"1"
6,3,6,1,3,6,1503.37999999962,549.684967545795,353.478210449219,12,587580,5673950,"Bow Valley",1,"1"
4,4,4,1,1,4,1433,192.586559533142,246.657623291016,2,577500,5679200,"Bow Valley",1,"1"
6,3,6,1,3,6,1498.75333333295,500.497089786666,313.166564941406,2,588050,5673130,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,668.351367545717,477.994781494141,1,586500,5673200,"Bow Valley",1,"1"
6,3,4,1,1,5,1458.38711111103,197.413440466858,0,2,582700,5676600,"Bow Valley",1,"1"
6,4,6,1,3,6,1403.21999999994,88.14701541725,12.0792198181152,2,585440,5674890,"Bow Valley",1,"1"
4,3,4,5,5,4,1948.6271111106,1058.43334041239,1559.77709960938,12,586100,5677050,"Bow Valley",1,"1"
4,4,4,4,3,4,1497.28666666648,39.6840333580039,581.593933105469,3,585150,5676700,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,397.109460792707,219.819458007812,5,587700,5671860,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,302.803156987013,350.548278808594,9,584100,5675400,"Bow Valley",1,"1"
4,4,4,1,3,4,1459.21999999994,145.709610442772,0,2,575500,5680500,"Bow Valley",1,"1"
5,5,5,3,1,5,1432.68666666667,132.374148103151,9.18214321136475,2,582200,5676400,"Bow Valley",1,"1"
6,3,4,1,1,5,1436.05288888885,17.4134404668584,0,1,582900,5676100,"Bow Valley",1,"1"
