"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","DistFromHighHumanAccess2","pack","used"
1,1,1,1,4,1,2452.74666666641,1055.11331211965,789.40870447216,"Red Deer",0
,,,,,,2121.12,1611.88708868456,1754.02192157473,"Red Deer",0
4,5,4,1,4,4,1790.31288888847,868.595851613936,710.035558134257,"Red Deer",0
,,,,,,1906.08711111146,374.922720762266,935.768386153971,"Red Deer",0
4,4,4,3,3,4,1860.08044444424,694.778316512692,14892.9402312666,"Red Deer",0
1,1,1,1,4,1,2671.14666666566,1040.01877701074,817.120961202158,"Red Deer",0
3,3,3,5,5,3,2214.43955555527,2260.52522840109,6361.94253625601,"Red Deer",0
1,1,1,1,4,1,2250.79200000068,1210.50417345191,10105.163005497,"Red Deer",0
4,4,4,4,3,4,1890.16666666623,2168.13370066712,2146.11430566538,"Red Deer",0
,,,,,,2069.1871111114,299.390572273478,9585.63837888627,"Red Deer",0
,,,,,,2063.89333333377,64.7275672957172,2543.79881053332,"Red Deer",0
,,,,,,2148.24666666637,603.199899923894,7541.03104622654,"Red Deer",0
4,5,5,3,1,5,1920,163.145416198381,4632.37277951173,"Red Deer",0
3,3,5,5,5,4,2411.0137777777,901.684169594175,13945.8388938394,"Red Deer",0
1,1,1,1,4,1,2345.91288888812,2441.70815975781,4937.26156885223,"Red Deer",0
3,3,3,1,1,3,2059.58666666698,634.511683175623,2421.9779144261,"Red Deer",0
4,5,4,1,4,4,1995.91955555576,3425.81206798284,9791.41998336269,"Red Deer",0
1,1,1,1,3,1,2260.34711111134,405.60812343298,1198.44484201101,"Red Deer",0
3,3,4,6,5,4,2105.68755555495,527.413440466858,15330.8106389049,"Red Deer",0
4,4,4,3,3,4,1897.06666666654,802.24593398069,13644.2399644802,"Red Deer",0
5,1,3,4,4,4,2299.40044444386,1235.73133833395,3752.50085043192,"Red Deer",0
,,,,,,1849.07955555544,23.8047225996683,3061.03972318987,"Red Deer",0
1,1,1,1,4,1,2495.68133333234,3869.97722718275,9425.3707095403,"Red Deer",0
,,,,,,1747.39288888929,203.624135505239,1829.90587208886,"Red Deer",0
,,,,,,2080.93377777781,1487.04787936063,1369.93131476239,"Red Deer",0
1,1,1,1,4,1,2613.45333333229,4982.27237188838,12714.5357107244,"Red Deer",0
3,1,3,6,5,3,2584.20711111129,1191.5933407008,10475.5367814243,"Red Deer",0
,,,,,,2570.38222222224,687.529876404316,13071.4705921241,"Red Deer",0
1,1,1,1,1,1,2764.55999999919,5864.8254446552,6415.0557672726,"Red Deer",0
4,3,3,5,6,4,2102.99999999984,110.315966641996,2205.62242044074,"Red Deer",0
,,,,,,2442.25911111202,1607.70456734452,7795.44211920861,"Red Deer",0
,,,,,,1742.86666666692,1122.71595686676,7019.77635882874,"Red Deer",0
3,3,5,5,5,4,2134.04622222162,88.1089408402136,6574.79902697639,"Red Deer",0
1,1,1,1,4,1,2552.4595555549,2203.85930894468,11953.4481300399,"Red Deer",0
1,1,3,6,5,3,2334.52044444386,967.540451915059,855.655932199093,"Red Deer",0
,,,,,,1893.6733333329,257.413440466858,1855.35205295824,"Red Deer",0
1,1,1,1,1,1,2490.24044444418,1918.94859545013,1944.93644261327,"Red Deer",0
3,3,4,6,5,4,2362.43911111108,3623.9797177022,9540.06194356656,"Red Deer",0
,,,,,,2061.84000000032,1656.29059104143,1394.11589304248,"Red Deer",0
3,1,3,6,5,3,2471.40044444344,4204.31102699613,9812.7173953916,"Red Deer",0
,,,,,,2345.8871111109,1490.83142523682,1642.20360402222,"Red Deer",0
4,3,3,5,6,4,2324.37288888821,167.230650751963,9154.48557514185,"Red Deer",0
3,3,3,3,1,3,2319.45333333271,1737.19401285932,1730.07609148129,"Red Deer",0
5,3,6,1,5,6,1926.6399999995,1076.68818172323,6976.93350344203,"Red Deer",0
,,,,,,1730.24666666679,1079.61594992969,6874.18914906029,"Red Deer",0
5,4,5,5,5,5,1883.09333333247,1220.27691534077,2341.57394702432,"Red Deer",0
4,5,4,3,3,4,1970.59999999981,181.880696804315,6033.67428721425,"Red Deer",0
,,,,,,2269.17955555513,1290.06179283272,2246.11959361026,"Red Deer",0
,,,,,,2029.28000000019,44.1737594519353,1639.28935334703,"Red Deer",0
4,4,4,1,3,4,1472.29377777763,8.52360412042671,0,"Red Deer",0
4,5,5,4,1,5,1927.25377777794,594.04702218891,4193.02501014686,"Red Deer",0
4,4,4,4,3,4,2061.69288888835,178.065434978367,7374.90060228334,"Red Deer",0
3,3,4,6,5,4,2272.47244444473,980.315966641996,8698.61255427644,"Red Deer",0
4,4,4,1,1,4,1878.47333333327,5.6210779452891,5653.65614514835,"Red Deer",0
4,3,3,3,1,4,2101.00622222287,278.254612403798,1794.04886642198,"Red Deer",0
1,1,1,1,1,1,2165.2128888892,860.918871392086,766.177843184367,"Red Deer",0
1,1,1,1,4,1,2423.493777777,3856.60453460761,11176.1183888318,"Red Deer",0
